20230313 01:53:59 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java46 - Inside test Login to API
20230313 02:08:05 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java71 - Inside test getUserData
20230313 02:08:05 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java46 - Inside test Login to API
20230313 02:08:20 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java91 - Inside test CreateUserData
20230313 02:08:20 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java46 - Inside test Login to API
20230313 02:08:21 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java115 - Inside test updateUserData
20230313 02:08:21 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java46 - Inside test Login to API
20230313 02:08:25 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java135 - Inside test deleteUserData
20230313 02:08:25 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java46 - Inside test Login to API
20230313 02:23:54 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java78 - Inside test getUserData
20230313 02:23:54 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:24:06 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java101 - Inside test CreateUserData
20230313 02:24:06 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:24:07 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java129 - Inside test updateUserData
20230313 02:24:07 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:24:10 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java153 - Inside test deleteUserData
20230313 02:24:10 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java50 - Inside test Login to API
20230313 02:27:03 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java74 - Inside test getUserData
20230313 02:27:03 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 02:27:03 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java97 - Inside test CreateUserData
20230313 02:27:03 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
